STATION,DATE,NAME,PRCP,SNOW,SNWD,TMAX,TMIN
USC00441593,2020-01-01,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,54.0,36.0
USC00441593,2020-01-02,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,52.0,34.0
USC00441593,2020-01-03,"CHARLOTTESVILLE 2 W, VA US",18.0,0.0,0.0,53.1,37.0
USC00441593,2020-01-04,"CHARLOTTESVILLE 2 W, VA US",20.0,0.0,0.0,54.0,44.1
USC00441593,2020-01-05,"CHARLOTTESVILLE 2 W, VA US",20.0,0.0,0.0,61.0,34.0
USC00441593,2020-01-06,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,48.0,33.1
USC00441593,2020-01-07,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,54.0,30.0
USC00441593,2020-01-08,"CHARLOTTESVILLE 2 W, VA US",79.0,74.0,51.0,37.9,28.0
USC00441593,2020-01-09,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,25.0,45.0,26.1
USC00441593,2020-01-10,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,41.0,26.1
USC00441593,2020-01-11,"CHARLOTTESVILLE 2 W, VA US",3.0,0.0,0.0,60.1,35.1
USC00441593,2020-01-12,"CHARLOTTESVILLE 2 W, VA US",363.0,0.0,0.0,69.1,51.1
USC00441593,2020-01-13,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,66.9,43.0
USC00441593,2020-01-14,"CHARLOTTESVILLE 2 W, VA US",30.0,0.0,0.0,51.1,41.0
USC00441593,2020-01-15,"CHARLOTTESVILLE 2 W, VA US",8.0,0.0,0.0,48.0,42.1
USC00441593,2020-01-16,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,59.0,46.0
USC00441593,2020-01-17,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,57.0,28.0
USC00441593,2020-01-18,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,39.9,28.0
USC00441593,2020-01-19,"CHARLOTTESVILLE 2 W, VA US",15.0,0.0,0.0,46.9,26.1
USC00441593,2020-01-20,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,46.0,21.0
USC00441593,2020-01-21,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,35.1,19.0
USC00441593,2020-01-22,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,34.0,19.0
USC00441593,2020-01-23,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,41.0,19.9
USC00441593,2020-01-24,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,43.0,27.0
USC00441593,2020-01-25,"CHARLOTTESVILLE 2 W, VA US",411.0,0.0,0.0,51.1,35.1
USC00441593,2020-01-26,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,57.0,36.0
USC00441593,2020-01-27,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,48.9,35.1
USC00441593,2020-01-28,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,51.1,36.0
USC00441593,2020-01-29,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,46.0,33.1
USC00441593,2020-01-30,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,46.0,28.0
USC00441593,2020-01-31,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,37.9,28.9
USC00441593,2020-02-01,"CHARLOTTESVILLE 2 W, VA US",10.0,0.0,0.0,39.0,27.0
USC00441593,2020-02-02,"CHARLOTTESVILLE 2 W, VA US",8.0,0.0,0.0,53.1,28.0
USC00441593,2020-02-03,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,61.0,37.9
USC00441593,2020-02-04,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,61.0,51.1
USC00441593,2020-02-05,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,70.0,52.0
USC00441593,2020-02-06,"CHARLOTTESVILLE 2 W, VA US",66.0,0.0,0.0,55.0,35.1
USC00441593,2020-02-07,"CHARLOTTESVILLE 2 W, VA US",361.0,0.0,0.0,59.0,37.0
USC00441593,2020-02-08,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,54.0,28.0
USC00441593,2020-02-09,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,45.0,28.9
USC00441593,2020-02-10,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,50.0,30.9
USC00441593,2020-02-11,"CHARLOTTESVILLE 2 W, VA US",51.0,0.0,0.0,51.1,37.0
USC00441593,2020-02-12,"CHARLOTTESVILLE 2 W, VA US",41.0,0.0,0.0,61.0,43.0
USC00441593,2020-02-13,"CHARLOTTESVILLE 2 W, VA US",61.0,0.0,0.0,48.0,39.0
USC00441593,2020-02-14,"CHARLOTTESVILLE 2 W, VA US",51.0,0.0,0.0,59.0,34.0
USC00441593,2020-02-15,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,43.0,18.0
USC00441593,2020-02-16,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,37.9,19.0
USC00441593,2020-02-17,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,51.1,30.0
USC00441593,2020-02-18,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,54.0,37.9
USC00441593,2020-02-19,"CHARLOTTESVILLE 2 W, VA US",13.0,0.0,0.0,57.0,39.9
USC00441593,2020-02-20,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,51.1,34.0
USC00441593,2020-02-21,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,37.9,21.0
USC00441593,2020-02-22,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,39.0,21.9
USC00441593,2020-02-23,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,57.9,30.0
USC00441593,2020-02-24,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,61.0,37.0
USC00441593,2020-02-25,"CHARLOTTESVILLE 2 W, VA US",41.0,0.0,0.0,55.9,41.0
USC00441593,2020-02-26,"CHARLOTTESVILLE 2 W, VA US",5.0,0.0,0.0,57.0,45.0
USC00441593,2020-02-27,"CHARLOTTESVILLE 2 W, VA US",107.0,0.0,0.0,55.0,33.1
USC00441593,2020-02-28,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,45.0,27.0
USC00441593,2020-02-29,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,44.1,28.9
USC00441593,2020-03-01,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,39.9,27.0
USC00441593,2020-03-02,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,54.0,28.9
USC00441593,2020-03-03,"CHARLOTTESVILLE 2 W, VA US",5.0,0.0,0.0,64.0,41.0
USC00441593,2020-03-04,"CHARLOTTESVILLE 2 W, VA US",8.0,0.0,0.0,64.9,45.0
USC00441593,2020-03-05,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,64.9,41.0
USC00441593,2020-03-06,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,54.0,36.0
USC00441593,2020-03-07,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,55.0,36.0
USC00441593,2020-03-08,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,51.1,35.1
USC00441593,2020-03-09,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,64.0,36.0
USC00441593,2020-03-10,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,75.0,39.9
USC00441593,2020-03-11,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,71.1,48.9
USC00441593,2020-03-12,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,64.9,45.0
USC00441593,2020-03-13,"CHARLOTTESVILLE 2 W, VA US",46.0,0.0,0.0,62.1,45.0
USC00441593,2020-03-14,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,73.9,45.0
USC00441593,2020-03-15,"CHARLOTTESVILLE 2 W, VA US",20.0,0.0,0.0,57.0,37.0
USC00441593,2020-03-16,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,45.0,37.0
USC00441593,2020-03-17,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,52.0,37.9
